author,username,retweet_count,tweets,created_at,type
BadmintonTalk,bukafit_,0,"@BadmintonTalk Congrats utk keduanya! Keren abiss!

https://t.co/JUAlVesF4T

Oh iya, buat kalian yang jg pengen jago main badminton, yuk sering2 latihan dengan raket YONEX ini!

#WorldTourFinals2021",2021-12-06 02:59:17,replied_to
BadmintonTalk,bukafit_,0,"@BadmintonTalk Uwaww keren abis! Congrats yakk!

https://t.co/JUAlVesF4T

Oh iya, buat kalian yang jg pengen jago main badminton, yuk sering2 latihan dengan raket YONEX ini!

#WorldTourFinals2021",2021-12-06 02:58:45,replied_to
bdmntnfans,jungyourjaehyun,4,"RT @bdmntnfans: Yah emang badminton pantes ajg buat dapet apresiasi lebih! Emosi bgt gua, nunggu berita apa yang dateng apaan!!",2021-12-06 02:58:32,retweeted
BadmintonTalk,bukafit_,0,"@BadmintonTalk Congrats Viggo! Keren abis deh! Emang number 1 

https://t.co/JUAlVesF4T

Oh iya, buat kalian yang jg pengen jago main badminton, yuk sering2 latihan dengan raket YONEX ini!

#WorldTourFinals2021",2021-12-06 02:57:40,replied_to
wazdoo,safwan_sayyid,0,"@wazdoo Fuh badminton. Raket, shuttle, bayar court semua boleh claim ah ni. Deymm",2021-12-06 02:57:00,replied_to
BadmintonTalk,bukafit_,0,"@BadmintonTalk Congrats Viggo &amp; Kunlavut ya! Keren abis!

https://t.co/JUAlVesF4T

Oh iya, buat kalian yang jg pengen jago main badminton, yuk sering2 latihan dengan raket YONEX ini!

#WorldTourFinals2021",2021-12-06 02:56:59,replied_to
,shattlehearteu,0,Bisa ga seterusnya athlete badminton stay in one hotel jg?,2021-12-06 02:54:14,
FikTya_,dorandae_il,8,"RT @FikTya_: @detikcom Udah sih gausah ikut campur.
Logika aja Pak, prestasi doang ga ada cuan mau makan apa?
Kita tau cabor situ juga bany…",2021-12-06 02:54:09,retweeted
BadmintonTalk,bukafit_,0,"@BadmintonTalk @Huelva2021WC Uwaaw keren abis dah!

https://t.co/JUAlVesF4T

Oh iya, buat kalian yang jg pengen jago main badminton, yuk sering2 latihan dengan raket YONEX ini!",2021-12-06 02:53:16,replied_to
be,favorstings,0,be mine atau kau kluar dri badminton,2021-12-06 02:52:06,replied_to
