author,username,retweet_count,tweets,created_at,type
calalase,DEEpiphany_,0,@calalase @BTS_twt Update juga kalo sepedaan bareng namukin😬,2021-12-06 02:59:59,replied_to
rahmdess27,jeylaivTK,168,"RT @rahmdess27: Katanya kalo RT / Reply twt ini bakal ketemu BTS, percaya gak? Cobain deh! 🧐🤗🙇🏻‍♀️🙇🏻‍♀️🙇🏻‍♀️

I vote #bts on #MAMAVOTE    @…",2021-12-06 02:59:59,retweeted
likechizu,softkoojeon,3257,"RT @likechizu: BTS akan beristirahat untuk beberapa waktu, (sama seperti waktu mereka istirahat di tahun 2019).

Mereka juga akan fokus unt…",2021-12-06 02:59:58,retweeted
BTStranslation_,Houseofpuff13,892,"RT @BTStranslation_: BTS WEVERSE POST JIN/SEOKJIN 211206

SJ: It's 'welcome to Korea"" Seokjinah

@BTS_twt https://t.co/cJYIaTXBhT",2021-12-06 02:59:58,retweeted
,jerapzah,0,"bisaaa yuk!

hai @jxhyuno ada layout ulzzang, IU, sohee, nct dream, enhypen, nct127, BTS, redvelvet, aespa, itzy, blackpink, dan IVE ready stock dan BISA REQ juga loh😍🌈✨ price?start 2k aja yuu💵✅
catalog : https://t.co/0o2dRYsqli https://t.co/bD01G8rfRt https://t.co/Gilm6mJd19",2021-12-06 02:59:57,
ARMYTEAMIID,Niaapri31512470,1325,"RT @ARMYTEAMIID: + 

Selamat datang di korea 💜
- jin

#방탄소년단 #BTS @BTS_tw https://t.co/Du7QIz8UIW",2021-12-06 02:59:57,retweeted
chizikook_,ourscenery_v,1832,"RT @chizikook_: Announcement bighit tentang BTS:

- BTS bakalan rest sementara dan ambil waktu dengan keluarga mereka
- BTS sedang mempersi…",2021-12-06 02:59:56,retweeted
ARMYTEAMIID,icstrwbrry,5793,"RT @ARMYTEAMIID: [🎥]

BTS sudah sampai ke korea 💜

#방탄소년단 #BTS @bts_twt https://t.co/pCz563Ug3W",2021-12-06 02:59:49,retweeted
,setrategi,0,"RT itsjjknunaa: dari : army bts
untuk : seluruh fandom/seluruh warga twitter, instagram, facebook, dsb.

army dan bts mau cuti nasional du… 1f",2021-12-06 02:59:47,
Gitaehyung12,Puteekim,0,"@Gitaehyung12 @BTS_AHC_IDN Sama, tpi aku ketemunya dgn life goes on 💜",2021-12-06 02:59:45,replied_to
,taetaetaeal_,1,ini majalah vogue korea gilaaa bangettt taun inii😭 abis adeknya txt abangnya bts juga bikin stress😭😭 https://t.co/ckElloKn0F,2021-12-06 02:59:45,
ARMYTEAMIID,jjknrz,4473,"RT @ARMYTEAMIID: [📸]

Selamat datang di korea 💜
- jungkook

#방탄소년단 #BTS @BTS_twt
https://t.co/Oay35pX9yk",2021-12-06 02:59:44,retweeted
SUGAinnie,bypalletpjm,0,@SUGAinnie @BTS_twt LINDOSAA,2021-12-06 02:59:44,replied_to
bella_invia,taeko0kie_,0,@bella_invia @BTS_twt Kemana kita ka🤣 btw pulau miang or mias itu bagus loh kaka datengin kemarin,2021-12-06 02:59:41,replied_to
,jiggukease,0,BUSET MASKING TAPE MV BTS OFFICIAL NYA AJA 255k EACH APA GAK BANGKTUT GUE 😭😭😭😭,2021-12-06 02:59:40,
JJKV975,JeonJK_Athira,13,RT @JJKV975: @kookpiics @BTS_twt JEON JEONGGUK HD https://t.co/0rqTwfdl32,2021-12-06 02:59:40,retweeted
7btsupdates,dhelokim,0,@7btsupdates @BTS_twt Translatenya meresahkan.. bisa² salah paham,2021-12-06 02:59:38,replied_to
,test5f1798,0,https://t.co/imMxcfBMPw : 424dbcc6-c55a-4fae-91ac-870861f74a10,2021-12-06 02:59:37,
