author,username,retweet_count,tweets,created_at,type
RJLetsGo,taeckrmn,980,"RT @RJLetsGo: Donasi army Indonesia, untuk bencana Gunung Semeru 

- a thread -",2021-12-06 02:59:59,retweeted
detikcom,Makcomblang18,0,"@detikcom ko gitu mending ikut Tarkam aja,,endingnya Indonesia bahkan bisa nyerah ke negara tetangga..hadianya (duit) mayan juga ..haha",2021-12-06 02:59:59,replied_to
,PolsekPancoran,0,"Polri Terus Evakuasi Masyarakat Terdampak Erupsi Gunung Semeru

Kepolisian Negara Republik Indonesia (Polri) terus mengerahkan prajuritnya untuk mengevakuasi masyarakat terdampak erupsi Gunung Semeru. https://t.co/hIS1olX3AD",2021-12-06 02:59:56,
jokitugasfess,hayuknugas,0,"@jokitugasfess 🦥HALOOW!🦥
aku bisa bantu kamu nih. 
✨aku mahasiswa Sastra Indonesia, jadi tugas kamu udah pasti berkualitas! ✨
Cek Testi di sini:
https://t.co/NCXmDuDotc
WA kami di sini:
https://t.co/yqXntUoQi0

untuk tugas kamu V START:
💸8k isian panjang",2021-12-06 02:59:55,replied_to
irmluthfiya,_mahdalena22,48,"RT @irmluthfiya: PENCEGAHAN BUNUH DIRI DI INDONESIA￼

Kita semua sudah familiar dengan hotline 911 yang ada di Amerika. Namun, siapa sangka…",2021-12-06 02:59:53,retweeted
Iovedkoo,Pick_me_juseyoo,0,@Iovedkoo Indonesia https://t.co/CGTgwXIn62,2021-12-06 02:59:51,replied_to
,helmasyauta,0,"Pandan gulung keju,,,teman ngopi n ngeteh 😉 @ Semarang, Indonesia https://t.co/xsgwn7sH6z",2021-12-06 02:59:50,
eriemrn,Ama_xxii,0,"@eriemrn Sdh benar jika organisasi serta liga sepak bola Indonesia ditiadakan saja.
Manajemen bobrok, kelakuan pemain dan official curang dan suka adu jotos dll. NIHIL prestasi.

Masyarakat Indonesia cukup sebagai penggemar/penonton sepak bola luar saja.",2021-12-06 02:59:49,replied_to
mamijenyo,AraPuisi1,50,"RT @mamijenyo: 5. @BantenKemenag seharusnya menjadi contoh Kemenag daerah lain, tetap fokus dan serius menyemai Moderasi Beragama, ditengah…",2021-12-06 02:59:45,retweeted
HumasPolresTem1,Susanto88359204,93,"RT @HumasPolresTem1: Kepolisian Negara Republik Indonesia (POLRI) terus hadir untuk masyarakat, dengan sigap Korps Bhayangkara terjun menge…",2021-12-06 02:59:44,retweeted
abu_waras,ZainalA84750288,310,"RT @abu_waras: Serangan Buzzer Terhadap Anies Sudah Tidak Ngefek, Karena Rakyat Indonesia Sudah tahu Buah Mana Yang Bau Busuk dan Yang Haru…",2021-12-06 02:59:43,retweeted
evanwijaya95,eka_neh,183,RT @evanwijaya95: Sungguh terbayar tuntas! Hari ini @SepertiDendam tayang di bioskop Indonesia. Saya berkesempatan utk berkontribusi membua…,2021-12-06 02:59:40,retweeted
,bringas3006,0,"Jokowi Peduli Bencana

Kemenkes : Pengiriman Logistik penanganan Erupsi jalan terus bersama BNPB. .
@KemenkesRI @BNPB_Indonesia @jokowi https://t.co/mAJ6K5mWN3",2021-12-06 02:59:36,
tubirfess,ZhaoFransAng,0,"@tubirfess hukum di Indonesia terombang ambing.
katanya penegak hukum,tapi malah bengkok
oke bisa membodohi masyarakat,tapi kalian tidak bisa membohongi Tuhan",2021-12-06 02:59:36,replied_to
HumasPolresTem1,PolsekPringsurt,1,"@HumasPolresTem1 Kepolisian Negara Republik Indonesia (POLRI) terus hadir untuk masyarakat, dengan sigap Korps Bhayangkara terjun mengevakuasi masyarakat terdampak erupsi Gunung Semeru yang berada di Lumajang, Jawa Timur. 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:36,replied_to
evanwijaya95,bicaraboxoffice,12,"RT @evanwijaya95: Kami mencoba beberapa alternatif figur Jelita, termasuk dalam rupa siluet. Gambar figur Jelita ini didasarkan pada gaya i…",2021-12-06 02:59:36,retweeted
sinema911,garupichan,0,"@sinema911 Yang kelewatan, link nonton resmi bisa dicek disini yak
https://t.co/HVImgmnM74",2021-12-06 02:59:33,replied_to
jokitugasfess,hayuknugas,0,"@jokitugasfess 🦥HALOOW!🦥
aku bisa bantu kamu nih. 
✨aku mahasiswa Sastra Indonesia, jadi tugas kamu udah pasti berkualitas! ✨
Cek Testi di sini:
https://t.co/NCXmDuDotc
WA kami di sini:
https://t.co/yqXntUoQi0

untuk tugas kamu V START:
💸25",2021-12-06 02:59:30,replied_to
korantempo,IbuRatu1026,2,RT @korantempo: Pemulihan pariwisata Indonesia pada 2022 masih sangat bergantung pada kunjungan turis asing. Pelaksanaan konferensi dan age…,2021-12-06 02:59:30,retweeted
