author,username,retweet_count,tweets,created_at,type
jangan,bluevicO1,0,"jangan bilang arisa enggak stabil, kalo gak stabil gaakan dia juara b2b, gaakan masuk final io wtf",2021-12-06 02:59:54,replied_to
,Dedetabdillah,0,"Baru kali ini seumur2 bikin kalkulasi juara dunia F1 cuma ""dia yang di depan, dia yang juara dunia""",2021-12-06 02:58:39,
,nfjuara,0,"Selamat pagi, Sobat juara. 

#MondayMotivation https://t.co/IKub5MkdEW",2021-12-06 02:58:32,
convomf,milkyays,0,"@convomf Ada nih eunseo, anaknya ini aktif ceria gitu mana cantik mukanya, hidungnya mancung, juara lari, bisa gulat, actress juga, tinggi, body goals😭🤲🏻 https://t.co/ZaMwLiruWT",2021-12-06 02:58:30,replied_to
JelemoGAJE,Tri12Anggara,0,@JelemoGAJE Kalo dr power jelas Mercy di atas angin dgn mudah gapai juara dunia apalagi kl dpt pole tp apapun bs terjadi. Ya kita liat aja sapa yg bernasib lbh untung di sana krn saya emg ga dukung Max atau Lewis 😄😄,2021-12-06 02:58:02,replied_to
RudyRoedyanto,alittlebitfans,0,"@RudyRoedyanto atlit angkat besi ketar ketir,takut nanti pas juara eh gadapat bonus mau nyindir udah kenak mental duluan",2021-12-06 02:57:58,replied_to
mankewww,watashiwakarind,1182,"RT @mankewww: ""Tapi gue gini-gini aja. Gak ada pencapaian bagus.""

Gapapa. It's ok. Stay alive. At least demi liat atlet kesayangan lu juar…",2021-12-06 02:57:53,retweeted
TeamMsia,_asyrafrashidi,97,"RT @TeamMsia: Sekali lagi, atlet towerrunning negara, @MasTowerRunner pamer kehebatannya! Dia berjaya muncul juara #SpartanTrail Half Marat…",2021-12-06 02:57:32,retweeted
BadmintonTalk,dindaerightta,502,"RT @BadmintonTalk: Update dari #BangladeshIC, Putri Kusuma Wardani keluar sebagai juara WS usai mengalahkan Tasya Farahnailah dengan skor 2…",2021-12-06 02:57:25,retweeted
BadmintonLive1,bcdefgh_jlmnopq,212,"RT @BadmintonLive1: Marcus Gideon : ""Kami jujur, ya, sangat lelah, badan terasa sakit semua. Ya, tapi mau bagaimana lagi, kami hanya terus…",2021-12-06 02:56:49,retweeted
kangmul58,LokoJoyo81,22,"RT @kangmul58: Erick Thohir mendoakan PERSIB untuk bisa menjadi juara di Liga 1 2021/2022. 

Saya berharap pertandingan PERSIB selalu ditun…",2021-12-06 02:56:42,retweeted
sipenepokbulu,jungyourjaehyun,33,"RT @sipenepokbulu: Jujur sedih dan terharu gimana minions bisa ada titik skrg, mulai dari gagal di OG dan perlahan bangkit. banyak dapet ca…",2021-12-06 02:56:33,retweeted
iorme,Usuyeong,0,"@iorme Genoa nanggung banget, juara sepisan meneh entuk bintang 1 lho",2021-12-06 02:55:56,replied_to
,Aririlit,0,"daftar nilai PAS hari ini :
b inggris : 42
b jawa    : 57
sejarah indonesia : 32
ya ampyun nilai² calon juara kelas g si 🤭😏🏆",2021-12-06 02:55:36,
titikputihbola,rofadanmina_,50,"RT @titikputihbola: Chelsea ini mendominasi dari segala aspek, baik kelompok umur atau gender. 👏🏻 

Selamat Chelsea juara FA CUP! 🔵",2021-12-06 02:55:12,retweeted
,WiwiJuliawati,0,Bangga keluarga SMK PKP1 Juara @ Smks Pkp 1 Jakarta https://t.co/D5ZmGfLjOa,2021-12-06 02:55:08,
Jokerfacex,OkaAzmi,0,@Jokerfacex ini udah lama gak sih ? emang juara sih dramanya,2021-12-06 02:54:08,replied_to
,ASTROARENA,1,Piala Davis: Russia muncul juara buat kali ketiga | Stadium Astro https://t.co/G0XlG2xUHg,2021-12-06 02:53:51,
XumaFans,ryeebeena,24,"RT @XumaFans: Kim/Kong Juara, mereka WD kedua setelah CQC/Yifan yang menangin World Tour level 300, 500, 750, S750, &amp; WTF!",2021-12-06 02:53:38,retweeted
muhammadiyah,muhammad_mursid,7,"RT @muhammadiyah: Tim UMM berhasil meraih juara tiga dalam kompetisi debat nasional, tepatnya dalam perhelatan NASTEC (National Accounting…",2021-12-06 02:52:31,retweeted
,Shinjiii666,0,Aah taik 😐 harusnya gue yang juara 1 🥲,2021-12-06 02:52:10,
kforkinsley,elsakffadillah,23,"RT @kforkinsley: Selamat pagi!

Aku hari ini lagi rajin banget deh, jam segini udah mandi🥲🤌🏻. Biar makin fresh aku pake body lotion dari @n…",2021-12-06 02:52:04,retweeted
joehann189,muthia43644354,0,"@joehann189 @detikcom Belum lagi mereka ngelewatin masa muda mereka hanya dengan latihan, bahkan pendidikan sedikit skali yg bisa sampai sarjana untuk hari tua nanti. Trus saat mereka juara hanya ucapan terima kasih doank. hmmmm",2021-12-06 02:51:40,replied_to
HansChr55339048,Pengennikah16,0,@HansChr55339048 @XumaFans Minions lepas Indonesia open ga ada yng juara Minions lagi nanti yng disalahin Minions menang di Indonesia open masuk WTF wdn di bwc lagi lagi disalahin🤣,2021-12-06 02:50:47,replied_to
,Springdoyy1999,0,Ada lagu make a wish di siapa mau jadi juara 🤩🤩🤩🤩,2021-12-06 02:50:29,
dan,UnsoedOfficial,0,"dan ditutup dengan Closing Ceremony yang dilaksanakan di Gedung Soetedja, Purwokerto dan Platform Zoom Meeting

Berita selengkapnya dapat diakses di https://t.co/h26E5hFWvT

https://t.co/VzJ9EIexQP

#unsoed
#unsoedmajuterus",2021-12-06 02:49:55,replied_to
susilo,azzahwa_malyka,1,"RT @susilo: @farencya07 Iya edisi khusus, AE 2018 kalau tak salah, satu tahun setelah Minions menggebrak, mengejutkan dan juara di 2017.

P…",2021-12-06 02:49:46,retweeted
