author,username,retweet_count,tweets,created_at,type
mardonboston,nickomrlnd,147,"RT @mardonboston: Semua DIJUAL silahkan 🤝

Dari kiri ke kanan 👇🏻
•VBC 75 stang pake 66 ori
•74 akhir
•74 awal 
•79 
•VBB 64 biru
•VBB 63 ab…",2021-12-06 17:57:57,retweeted
Ozifawzii,bayubazraa,1,RT @Ozifawzii: Kaga ada ikhlas2nya kalo duit pajak buat bayar buzzer tai .,2021-12-06 17:57:46,retweeted
tubirfess,PickKifad,607,RT @tubirfess: 2beer! gw marah banget kalo ini buzzer yg dibayar pake APBN alias dari pajak yg kita bayar. https://t.co/bD9dVgnyxt,2021-12-06 17:57:09,retweeted
mawakresna,11airbening,0,"@mawakresna Gue udeh berapa lama yee ga bayar pajak, hmm.

1. Uang pajak utk hal negatif. Bayar polisi utk gebukin rakyat, hakim utk menangi pejabat, dsb
2. Birokrasi bayar pajak sulit. Sama aja lu nutup jalan rezeki lu sendiri
3. Bayar pajak otomatis doang, makan di resto dsb",2021-12-06 17:55:01,replied_to
rudytjandra,bleomoonlight,3,RT @rudytjandra: @txtdrakuntansi DTA/DTL ini namanya aja ada pajak tp aslinya ya requirement accounting psak46. Pas wa di tax big four yg s…,2021-12-06 17:52:28,retweeted
indiratendi,fchkautsar,43,RT @indiratendi: Yaampun aku bayar pajak buat ngegaji buzzer tolol,2021-12-06 17:49:52,retweeted
JurnalAkuntansi,namiraamdrkh,48,"RT @JurnalAkuntansi: Undang-undang dan Peraturan-Peraturan Pemerintah yang wajib diketahui oleh seorang Akuntan, minimal:
*UU Pajak
*Yg ter…",2021-12-06 17:49:13,retweeted
jijihnnn,uchinagaie,0,"@jijihnnn SETUJUUUUU NO LATAH LATAH, yang latah bayar pajak 100T",2021-12-06 17:48:10,replied_to
zwolftenaugust,c7skies,919,"RT @zwolftenaugust: berhubung pbb itu pajak BUMI dan bangunan, dan howl's moving castle itu ga napak bumi, jadi pajak stnk aja tiap tahun s…",2021-12-06 17:46:37,retweeted
HoldenKlasik,daniel_tobidani,7,"RT @HoldenKlasik: Mazda MX6 coupe mt 1991
Full paper
Pajak off 1x bs dibicarakan
Body kaleng
Interior Full original
Harga 85jt nego
WA 0819…",2021-12-06 17:34:45,retweeted
aris_ps19,ketiksatuu,24,RT @aris_ps19: @DPDRI Maaf @DPDRI seharusnya sebagai lembaga resmi negara yg dibiayai oleh pajak rakyat tdk digunakan sebagai ajang pencitr…,2021-12-06 17:34:41,retweeted
,bbokcookie,0,"pajak tinggal kesimpulan, besok pagi ngerjain operasii",2021-12-06 17:32:42,
reyhan2f,RAmaul_,0,"@reyhan2f kenapasih yg disalahin harus korban?
masa ada yg korupsi juga yg disalahin yg bayar pajak gituh?",2021-12-06 17:31:21,replied_to
HoldenKlasik,Indrawanfake,25,"RT @HoldenKlasik: Toyota Land cruiser FJ45 custom double Cabin
Tahun 1982
Km masih dibawah 100rb
Engine swap diesel turbo 12HT toyota prado…",2021-12-06 17:30:48,retweeted
,keishalvaa,0,NGIDAM TAROT ASLIIII YANG NGASIH GUE TAR PAJAK MAKAN LO GUE YANG BAYAR DEH,2021-12-06 17:27:36,
moonjunhui,Jhongseong,0,@moonjunhui Pajak jadiannya mana? Bagi bagi kebahagiaan dong.,2021-12-06 17:26:42,replied_to
,aegontargariyen,0,"bayar pajak, cuman dipake buat bayarin buzzer yang nyatanya gak efektif.

daripada berlomba bangun citra di medsos, lebih baik lagi kalo sumber dana nya dipake buat perbaikan kinerja struktur. 

buat apa citra medsos kalo masyarakat juga bakal tetep gapercaya sama struktur.",2021-12-06 17:25:07,
,FreeHafis1,0,"Di Kanada, kebanyakan makanan tidak ada pajak",2021-12-06 17:18:10,
,memontum_online,0,Sah.. Wajib Pajak Rp 50 Ribu Bawa Pulang Mobil dari Bapenda Kota Malang https://t.co/rhAd1duuI5,2021-12-06 17:18:04,
,itzryubjin,0,@ngamvuk KASIH AKU PAJAK BALIKAN GA MAU TAU!!!!!!,2021-12-06 17:17:46,
Donny_93,Jennife94466705,1,"RT @Donny_93: @kring_pajak @DitjenPajakRI Pagi Bpk/ibu, knp djponline tdk bs upload csv untuk lapor spt masa y ? Dari semalam muncul “file…",2021-12-06 17:13:30,retweeted
mouldie_sep,randydewanggaa,193,RT @mouldie_sep: Bayar pajak gaes biar akun 2021 tetap punya pekerjaan https://t.co/it4TmLWcQw,2021-12-06 17:08:25,retweeted
S4N_W1B1,sezer1405,0,@S4N_W1B1 Sikaaat kang Dedi Mulyadi!! Ribetin dan teguur dan viralkan terus mrk² yg cuman bisa habiskan uang pajak masy...jangan kasih kendor!!,2021-12-06 17:08:10,replied_to
gue,renberry0323,0,"gue sempet berpikir apakah sebaiknya gue menerima dia biar dia ga pergi?

tapi ternyata ga bisa. gue terlambat.

gue inget beberapa waktu kemudian temen-temen gue mintain dia peje alias pajak jadian. dia udah jadian sama anak kelas sebelah.

dari situ, gue gak move on 3 tahun.",2021-12-06 17:05:53,replied_to
,zaki_zainuri,0,"Kek nya gw mulai males buat bayar pajak kalo ujung2nya utk ngegaji mentri yg suka mungut batu 1/1 pake satu tgn, ngegaji polisi yg suka pandang bulu trhdp kasus, ngegaji jendral TNI yg suka kuliah subuh dimsjd tapi nyuruh umat ""jgn terlalu mendalami ilmu agama"".",2021-12-06 17:05:24,
convomf,buvrung,0,@convomf ngitung pajak,2021-12-06 17:02:27,replied_to
C_JessiJKT48,Rep_RakyatChika,0,"@C_JessiJKT48 Drpd nangis keluar faktur pajak dek, repot ಥ‿ಥ",2021-12-06 17:00:58,replied_to
,Dwik_Art116,0,baru terasa nyeseknya liat pejabat korup itu waktu kita bayar pajak yang nominalnya rada besar.,2021-12-06 17:00:09,
,IdTirtayasa,0,Direktorat Jenderal Pajak Jamin Kesetaraan Hak untuk Teman Tuli https://t.co/O94sRAhWMg,2021-12-06 18:56:09,
wonter,YEONHUN,0,@wonter 15% nya lagi pajak kah?,2021-12-06 18:49:30,replied_to
97Boyas,zulkovskiii,0,"@97Boyas @kevgidminions dah atlet diteken kalo main, kalah dihujat, menang diremehin, ada insiden dicari cela negatif. apresiasi pun gaada. nama Indonesia cuman bisa dibanggain badminton doang. gaada tuh yg laen. lu pikir mereka ga nambah devisa? nambah woy. atlet” laen latihan kesini, pajak hadiah, dll",2021-12-06 18:47:06,replied_to
,silviagani274,1,"Rakyat bayar pajak buat bayar INFLUENCER,berarti pemerintah tidak percaya dengan hasil kerja nya sendiri.. https://t.co/7jyvd2Ybqt",2021-12-06 18:46:56,
,adityasuhada8,0,"Lah kamu menghina atlet...
Kamu bisanya apa untuk negara?
Cuman bayar pajak doank?
Itu pun kalau tepat waktu.
Ayo donk...negara harus maju di sektor olahraga...
Jangan jadi beban negara terus deh..
Ngadi-ngadi...",2021-12-06 18:46:09,
democrazymedia,individumerd,0,"@democrazymedia kek jaman krajaan dl,kalo mo aman selain byr pajak rutin jg hrus ngasih upeti tmbahan.",2021-12-06 18:42:25,replied_to
tamhyun,caehhyun,0,@tamhyun GENIUS BRAIN. Ini dia jawaban yang aku tunggu-tunggu! Hadiah 5 juta dipotong pajak segera dikirim!,2021-12-06 18:37:15,replied_to
sanwhoreee,timothykennetz,0,"@sanwhoreee @heycandra1 @0glowinthedark @MontLeonis @AREAJULID sadar diri mbak, itu tanah orang, hak orang, yg bayar pajak juga dia ,, mau up ke pemerintah juga mbaknya yg salah kenapa tanah gak berjalan dibeli ,,

mending mbak bikin open donasi buat bantu bayarin tanahnya dia bakal jalan ke rumah mbak, itu juga kalo dia mau jual tanahnya ,,",2021-12-06 18:34:17,replied_to
,GunioRahmat,0,Kenapa perusahaan media sosial perlu bayar pajak atas bisnis nambang waktu banyak orang,2021-12-06 18:31:49,
ngalamfess,brideinblanc,0,"@ngalamfess Kang parkir jaman saiki wes podo koyo tukang pajak tanah, soale diewangi enggak dipajeki iyo",2021-12-06 18:30:40,replied_to
mideunight,Babydwarf_,0,"@mideunight hanjim, ws koyok voc ae jaluk pajak tiap hari",2021-12-06 18:30:29,replied_to
jarotkharisman,VanilllaaEclair,0,"@jarotkharisman @pukiiis_ @buangjahat @mawakresna @Hanazahrina Wallahi saya juga mas 😄 .. akan saya pertanyakan -&gt; kemana duit pajak saya selama ini yg buat negara, uang mana yang terpakai, apa itu buzzerp, darimana mereka digaji? Saya ga IKHLAS, serupiahpun uang saya dipakai untuk menggaji org yang mengkoordinir, mengarahkan, buzzerp",2021-12-06 18:29:51,replied_to
snowangja,CekoJeco,39,RT @snowangja: @zwolftenaugust Howl moving castle bayar pajak pbb atau pajak kendaraan?,2021-12-06 18:20:39,retweeted
mairklee,yonghoounz,0,"@mairklee @selfolconvo Thanks loh, mana pajak jadiannya?",2021-12-06 18:18:58,replied_to
,collegemenfess,0,[cm] info magang buat anak akuntansi atau pajak dong udh kebelet banget buat produktif,2021-12-06 18:13:28,
gumanheng,anjaniverse,0,@gumanheng @binahonq dia ga suka pajak dia sukanya akuntansi,2021-12-06 18:10:24,replied_to
thanksnebula,ourboxes,24,"RT @thanksnebula: @adambrotowijono @ezash kalo mau ngebet ambil bekas tp merk yang bagus, its okay sih. asalkan mesinnya diperhatikan, biar…",2021-12-06 18:09:19,retweeted
BinAnsyari,dabenone2,1,"RT @BinAnsyari: Jgn terlalu ngegas Pak @Jokowi yg sedang-2 ajalah, karena kemamfaatan bagi Masyarakat itu pada dasarx itu memakmurkanx, bkn…",2021-12-06 18:07:53,retweeted
anjaniverse,gumanheng,0,"@anjaniverse @binahonq Dipotong pajak, coba hitung pajaknya @binahonq",2021-12-06 18:07:53,replied_to
,RizalAxldani,0,Hal yang paling sulit untuk difahami di dunia ini adalah pajak penghasilan.,2021-12-06 19:58:55,
moonjunhui,Jhongseong,0,@moonjunhui Gak akan menyerah untuk mintain pajak jadian. Mau ngasih apa nih buat anak anak Maraudre sebagai pajak jadian?,2021-12-06 19:51:04,replied_to
,ErlinaD22790154,0,"Keuangannya Tertekan karena Pandemi, Bandara YIA Minta Keringanan Pajak",2021-12-06 19:41:19,
,alex15738628,0,eRegistrasi Pajak https://t.co/Tq5UFjroMa #registrasinpwp #banggabayarpajak,2021-12-06 19:35:03,
abirekso,renost789,1065,"RT @abirekso: Beli tanah dari tukang tipu. Di depan notaris abal-abal. Bangun rumah gak ada izin, gak bayar pajak. Begitu 12 tahun, diusir…",2021-12-06 19:27:05,retweeted
S4N_W1B1,RrSoegeng,1,@S4N_W1B1 itu villa segede gaban pada bayar pajak gak ya?,2021-12-06 19:16:17,replied_to
bank_indonesia,Antarti23734840,8,"RT @bank_indonesia: Kelima, 'Digital Financial Inclusion', utk mendorong produktivitas serta mendukung ekonomi &amp; keuangan inklusif bagi 'un…",2021-12-06 19:08:23,retweeted
hindenbugr,kfimliz,0,@hindenbugr potong pajak itu kak,2021-12-06 20:47:31,replied_to
,satlantas_l,0,"Giat pelayanan pengesahan dan pembayaran pajak tahunan kendaraan bermotor pada drive true aikmel

#ayobayarpajak
#samsat https://t.co/LAKmwYAVgQ",2021-12-06 20:38:26,
DitjenPajakRI,pajaklhoks,114,"RT @DitjenPajakRI: Hari ini DJP bersama Gerkatin Kepemudaan, menyelenggarakan edukasi pajak untuk penyandang disabilitas di KP DJP. 

Acara…",2021-12-06 20:38:15,retweeted
DitjenPajakRI,pajaklhoks,110,"RT @DitjenPajakRI: Ketua KPK Sarankan Integritas dan Sistem di Hakordia DJP

Dirjen Pajak Suryo Utomo menuturkan pesan #MenkeuSMI, ""Kita ju…",2021-12-06 20:37:59,retweeted
,SINDOnews,0,"Bayar Pajak Lebih Mudah, Meterai Elektronik Tingkatkan Pendapatan Negara

 #Sindonews #BukanBeritaBiasa .https://t.co/Im5YeoMYeh",2021-12-06 20:37:54,
DitjenPajakRI,pajaklhoks,124,"RT @DitjenPajakRI: Hari ini DJPmenyelenggarakan puncak peringatan Hari Antikorupsi Sedunia 2021 di Kantor Pusat DJP, Jakarta. 

Kegiatan in…",2021-12-06 20:37:46,retweeted
DitjenPajakRI,pajaklhoks,184,"RT @DitjenPajakRI: Selamat siang #KawanPajak

Tahun 2022 DJP mendapatkan target penerimaan Pajak 2022 sebesar Rp1.265,0 triliun.

#APBN2022…",2021-12-06 20:37:40,retweeted
DitjenPajakRI,pajaklhoks,79,"RT @DitjenPajakRI: Dukungan untuk Petani Indonesia adalah hasil dari kontribusi pajak. 

https://t.co/FuFzxmY0bD",2021-12-06 20:37:25,retweeted
DitjenPajakRI,pajaklhoks,63,RT @DitjenPajakRI: Info Kurs Pajak Hari ini.,2021-12-06 20:37:03,retweeted
DitjenPajakRI,pajaklhoks,150,"RT @DitjenPajakRI: Digunakan untuk apa sih uang pajak di Papua?

Untuk akselerasi pembangunan dalam bentuk alokasi #UangKita pada 2021 yang…",2021-12-06 20:37:00,retweeted
,satlantas_l,0,"Giat pelayanan pengesahan dan pembayaran pajak tahunan kendaraan bermotor pada Samsat selong

#ayobayarpajak
#samsat https://t.co/KYZ9t4zgWl",2021-12-06 20:35:25,
tempodotco,cahyomisto,0,"@tempodotco Turut prihatin pada warga negara yg asetnya disita karena gagal pajak, asetnya disita untuk melihara buzzer",2021-12-06 20:34:09,replied_to
,NurdiyantiKania,0,"Hari ini DJP bersama Gerkatin Kepemudaan, menyelenggarakan edukasi pajak untuk penyandang disabilitas di KP DJP. Acara ini diselenggarakan untuk memaknai Hari Penyandang Cacat Internasional atau Hari Difabel Internasional yang diperingati pada 3 Desemb",2021-12-06 20:28:35,
,TokoRagil,0,"Di Jepang, pria berwajah tampan dikenakan pajak lebih tinggi.",2021-12-06 20:28:12,
,RahayuA61096382,0,"Hari ini DJP bersama Gerkatin Kepemudaan, menyelenggarakan edukasi pajak untuk penyandang disabilitas di KP DJP. Acara ini diselenggarakan untuk memaknai Hari Penyandang Cacat Internasional atau Hari Difabel Internasional yang diperingati pada 3 Desember setiap tahunnya.",2021-12-06 20:27:25,
LukeSusilo,NobitaNewbie,0,"@LukeSusilo @stafsuscolonial Kau besok pigi ke sambu, pas depan toko kimia (dulu hotel belinun jaya) ada tugu medan area.. nah tiap sore disiti ada pajak (pasar) ular yg jual berbagai macam barang.. cok ko tanya ada gak jual otak seken, kalo ada ko beli 1 biar ada otakmu sikit.",2021-12-06 20:26:13,replied_to
,purnamawindhaa,0,"Orang jerman ini hobi surat menyurat ya. Smua kudu disimpen rapi ""mbok menowo"" suatu saat butuh. Pernah buang surat yg isinya nomer pajak krn waktu itu blm bayar pajak, setahun kemudian butuh dan kudu ngurus smpe telp ke kantor pusat pajak di Bonn, setres kali wak aku ngurusnya🙃",2021-12-06 20:22:06,
,zaenuarerfandy,0,"Orang bijak taat pajak, orang jahat makan
pajak, orang gila gak diajak.",2021-12-06 20:09:31,
febridiansyah,AslamMochamad,0,"@febridiansyah @Dennysiregar7 berbeda saat oarang waras baca/nyebut hny dari nama @Dennysiregar7 langsung tau si otak sampah, si mulut comberan, makan dari pajak rakyat, uang hasil provokasi dan fitnah untuk makan keluarga",2021-12-06 20:08:12,replied_to
morbid2021,morbid2021,1,"RT @morbid2021: https://t.co/ngSDAfLYNl
saya mau info untuk mendapatkan nomer EFIN, bagaimana langkahnya ?",2021-12-06 20:04:35,retweeted
morbid2021,morbid2021,1,RT @morbid2021: @kring_pajak bagaimana saya dapat mendapatkan nomer EFIN min ? untuk lapor spt tahunan ?,2021-12-06 20:04:32,retweeted
mazzini_gsp,Galuhkns,0,@mazzini_gsp bayar pajak cuma buat bayar buzzer,2021-12-06 21:52:29,replied_to
akungalauridzi,Arimatou_,1,"@akungalauridzi @AREAJULID Salah juga rencana bangun rumahnya kenapa gk kasih akses jalan buat diri sendiri. Masa bergantung terus sama orang dari 80an. Pajak yg bayar yg punya, diperbaiki juga yg punya. Bukan masalah duit. Tapi hak tanah",2021-12-06 21:52:27,replied_to
,lailarahmwt28,0,"Tugas Resume PAD
""Pajak dan Retribusi""
Laila Rahmawati (002) https://t.co/39AJ9hWmRd",2021-12-06 21:48:57,
sanwhoreee,Arimatou_,1,"@sanwhoreee @timothykennetz @0glowinthedark @MontLeonis @AREAJULID Maaf tapi pajak tanah dari tahun dulu naik kan? Yg bayar juga keluarga bapak R kan? Udah diperbaiki terus pula. Gue sih jadi bapak R ya bakal nuntut lebih lah. Katanya suruh nembok aja giliran bener kok marah""",2021-12-06 21:48:46,replied_to
