author,username,retweet_count,tweets,created_at,type
EllaZefa,CakBambangelf,2,RT @EllaZefa: Warha terdampak erupsi semeru akan diberi dana tunggu Ro 500rb per bulan selama 6 bulan saat rumah dibangun kembali. Seneng k…,2021-12-06 02:59:59,retweeted
polres_pacitan,AtbJoko,341,"RT @polres_pacitan: TNI-Polri Hadir Untuk Kemanusiaan

Kesiagaan TNI-Polri dalam membantu mengevakuasi korban erupsi Gunung Semeru dan teru…",2021-12-06 02:59:59,retweeted
leemarker916,vocadojaem,89,"RT @leemarker916: Halo semuanya,
mari kita sisihkan sebagian rezeki untuk membantu bantu teman-teman kita yang terdampak bencana Erupsi Sem…",2021-12-06 02:59:59,retweeted
RJLetsGo,taeckrmn,980,"RT @RJLetsGo: Donasi army Indonesia, untuk bencana Gunung Semeru 

- a thread -",2021-12-06 02:59:59,retweeted
,ngopipanas,1,"Update Kabar Semeru Lumajang, 14 Korban Meninggal, 2.970 Rumah dan 13 Fasum Rusak https://t.co/wBDwGMEUWY",2021-12-06 02:59:58,
PolsekKertasari,BKertasari,3,"RT @PolsekKertasari: Polri Evakuasi Lansia Korban Erupsi Gunung Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/7QUdse0…",2021-12-06 02:59:58,retweeted
,Humaspolressbg_,0,"Polri Gelar Operasi Kemanusiaan Aman Nusa II Tanggulangi Erupsi Gunung Semeru

""Segala unsur kekuatan terbaik yang dimiliki Polri dikerahkan untuk membantu warga yang menjadi korban Erupsi Gunung Semeru. 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/zNyjQ3kkCV",2021-12-06 02:59:57,
HumasPolresTem1,kelvinadi1998,0,"@HumasPolresTem1 Polri Bagikan Masker Hingga Berikan Pertol ongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:57,replied_to
,HumasPolsekKed4,0,"Polri Gelar Operasi Kemanusiaan Aman Nusa II Tanggulangi Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/34y7ZwFOm8",2021-12-06 02:59:57,
1trenggalek,1lamiran,97,"RT @1trenggalek: Polri Gelar Operasi Kemanusiaan Aman Nusa II Tanggulangi Erupsi Gunung Semeru 
#PolriTanggapKemanusiaan
Aksi Peduli Lumaja…",2021-12-06 02:59:57,retweeted
sigitdwisetiaw3,RiskyAk20,0,"@sigitdwisetiaw3 @HumasPolresTem1 Polri Bagikan Masker Hingga Berikan Pertolongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:57,replied_to
HumasPolresTem1,padmoa345,0,"@HumasPolresTem1 Polri Gelar Operasi Kemanusiaan Aman Nusa II Tanggulangi Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:57,replied_to
,PolsekPancoran,0,"Polri Terus Evakuasi Masyarakat Terdampak Erupsi Gunung Semeru

Kepolisian Negara Republik Indonesia (Polri) terus mengerahkan prajuritnya untuk mengevakuasi masyarakat terdampak erupsi Gunung Semeru. https://t.co/hIS1olX3AD",2021-12-06 02:59:56,
sudjiwotedjo,rhmngts,883,RT @sudjiwotedjo: Menteri2 monggo silakan ke Semeru .. semuanya .. kecuali yang satu ini. Ntar malah bikin ribut. Pls menteri yg satu ini t…,2021-12-06 02:59:55,retweeted
HumasPolresTem1,kelvinadi1998,0,"@HumasPolresTem1 Polri Bagikan Masker Hingga Berikan Perto longan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:54,replied_to
HumasPolresTem1,PolsekPringsurt,1,"@HumasPolresTem1 Tim Dokes Polri juga memberikan layanan kesehatan untuk masyarakat, serta memberikan penanganan medis, dan membagikan masker untuk melindungi korban dari kepulan debu pasca erupsi Gunung Semeru.

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:54,replied_to
PolsekKertasari,BKertasari,4,"RT @PolsekKertasari: TNI-Polri Hadir Untuk Kemanusiaan

Kesiagaan TNI-Polri dalam membantu mengevakuasi korban erupsi Gunung Semeru dan ter…",2021-12-06 02:59:54,retweeted
,PuspaSuri,0,"Abis syuting tadi malam, hujan-hujanan pake Honda Super Cup 800 dan berhenti disebuah toko lukisan. Brcerita, brsenda gurau, dan melihat kagum gambar wayang bersama gunung Semeru.Rasanya Tuhan sdg menghibur. Pagi dini hari aku terbangun ""seperti mimpi saja.."" https://t.co/bRnGshPoqK",2021-12-06 02:59:52,
1trenggalek,1lamiran,93,"RT @1trenggalek: Polri Bagikan Masker Hingga Berikan Pertolongan Untuk Korban Erupsi Semeru #PolriTanggapKemanusiaan
Aksi Peduli Lumajang h…",2021-12-06 02:59:52,retweeted
HumasPolresTem1,Atika80864337,0,"@HumasPolresTem1 Polri Bagikan Masker Hingga Berikan Pertolongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:51,replied_to
,humasresinhil,0,"Polri Dirikan Posko Kesehatan Dan Dapur Umum Untuk Korban Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/v9TMLqCBJ1",2021-12-06 02:59:50,
KentArockerss,WiberMelayu6,211,"RT @KentArockerss: Semeru yg kembali erupsi .erupsi mengarah ke Supit Urang
Lokasi semalam kita turunkan logistik di dua tempat https://t.c…",2021-12-06 02:59:49,retweeted
PolsekKertasari,BKertasari,4,RT @PolsekKertasari: Potret personel Polri yang tergabung dalam Tim Dokkes sedang melakukan pertolongan pertama kepada warga yang menjadi k…,2021-12-06 02:59:48,retweeted
himawanan,M_Atalk,14402,"RT @himawanan: *OPEN DONASI UNTUK HEWAN SEMERU*

Please Help, saat ini banyak banget hewan yang terdampak letusan gunung semeru. Dan hingga…",2021-12-06 02:59:47,retweeted
HumasPolresTem1,kelvinadi1998,0,"@HumasPolresTem1 Polri Bagikan Masker Hingga Berikan Pert olongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:47,replied_to
Rachim007,Argo00449750,1,"RT @Rachim007: Sohib² pade, nyok kite same² ngedoain para korban Semeru biar pade cepet baek biar mereka² pade bise beraktivitas lagi kaye…",2021-12-06 02:59:47,retweeted
PolsekKertasari,HendarwatiH,4,"RT @PolsekKertasari: Polri Gelar Operasi Kemanusiaan Aman Nusa II Tanggulangi Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lu…",2021-12-06 02:59:47,retweeted
idextratime,_ngalamlop_,788,"RT @idextratime: BREAKING NEWS : Gunung Semeru yang berada di Kabupaten Malang dan Kabupaten Lumajang, Jawa Timur, baru saja mengalami erup…",2021-12-06 02:59:46,retweeted
,PIDM_Bojonegoro,57,"Polri Gelar Operasi Kemanusiaan Aman Nusa II Tanggulangi Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/M8dkoKK9Hj",2021-12-06 02:59:45,
AdibHidayat,ImmanuelOwen,77,"RT @AdibHidayat: Dampak letusan Gunung Semeru di Desa Sumber Wuluh, Lumajang, Jawa Timur, Minggu (5/12/2021). Dampak guguran awan panas Gun…",2021-12-06 02:59:45,retweeted
1trenggalek,1lamiran,114,RT @1trenggalek: Kesiagaan TNI-Polri dalam membantu mengevakuasi korban erupsi Gunung Semeru dan terus memberikan pertolongan kepada masyar…,2021-12-06 02:59:44,retweeted
HumasPolresTem1,Susanto88359204,93,"RT @HumasPolresTem1: Kepolisian Negara Republik Indonesia (POLRI) terus hadir untuk masyarakat, dengan sigap Korps Bhayangkara terjun menge…",2021-12-06 02:59:44,retweeted
PolsekKertasari,BKertasari,5,"RT @PolsekKertasari: Polri Terus Evakuasi Masyarakat Terdampak Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://…",2021-12-06 02:59:44,retweeted
hipohan,sankara583,0,"@hipohan S7 sob
datangi dan naikintu semeru..marah2 tunjuk2 aje tu mukanye semeru..kl semeru ngeludah laporin dan penjarain aje.",2021-12-06 02:59:43,replied_to
PolrestabesSby,kasiyono34yahoo,5,"RT @PolrestabesSby: Polri Gelar Operasi Kemanusiaan Aman Nusa II Tanggulangi Erupsi Gunung Semeru 
#PolriTanggapKemanusiaan 
Aksi Peduli Lu…",2021-12-06 02:59:43,retweeted
HumasPolresTem1,kelvinadi1998,0,"@HumasPolresTem1 Polri Bagikan Masker Hingga Berikan Pertolongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Polri Bagikan Masker Hingga Berikan Pert olongan Untuk Korban Erupsi Semeru",2021-12-06 02:59:43,replied_to
CNNIndonesia,_ngalamlop_,256,"RT @CNNIndonesia: Gunung Semeru Erupsi, Hujan Abu Sampai ke Malang https://t.co/J2nUDpfeXA",2021-12-06 02:59:43,retweeted
MediaKomando,ViviPalesti,10,"RT @MediaKomando: Bantu Bencana Semeru, Polri Terjunkan 945 Personel Berkemampuan SAR https://t.co/mnVnZta175",2021-12-06 02:59:41,retweeted
,tribratagowahu1,0,"TNI-Polri Hadir Untuk Kemanusiaan

Kesiagaan TNI-Polri dalam membantu mengevakuasi korban erupsi Gunung Semeru dan terus memberikan pertolongan kepada masyarakat di Kabupaten Lumajang, Jawa Timur.

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/lwUp0xPhz6",2021-12-06 02:59:40,
HumasPolresTem1,kelvinadi1998,0,"@HumasPolresTem1 Polri Bagikan Masker Hingga Berikan Per tolongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:40,replied_to
PolsekKertasari,BKertasari,5,"RT @PolsekKertasari: Baharkam Polri Kirim Pasukan Bantu Korban Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://…",2021-12-06 02:59:39,retweeted
HumasPolresTem1,kelvinadi1998,0,"@HumasPolresTem1 Polri Bagikan Masker Hingga Berikan Pe rtolongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:36,replied_to
HumasPolresTem1,PolsekPringsurt,1,"@HumasPolresTem1 Kepolisian Negara Republik Indonesia (POLRI) terus hadir untuk masyarakat, dengan sigap Korps Bhayangkara terjun mengevakuasi masyarakat terdampak erupsi Gunung Semeru yang berada di Lumajang, Jawa Timur. 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:36,replied_to
,PolsekSkw,1,"Polri Terus Evakuasi Masyarakat Terdampak Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/NRvU5fxdzv",2021-12-06 02:59:36,
Tjeloup1,inal888,106,"RT @Tjeloup1: USUL...☝🏻.

50% gaji November - Desember, anggota DPR dan MPR serta DPD RI. Disumbangkan untuk musibah Semeru.

Yang sepakat…",2021-12-06 02:59:36,retweeted
,pidressitubondo,6,"Polri Kerahkan Tim Dokkes dan Dirikan Posko Kesehatan Untuk Korban Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/ehpGvtWGNv",2021-12-06 02:59:34,
KemenBUMN,jokonsembrono,38,"RT @KemenBUMN: #SobatBUMN, BUMN bergerak cepat dalam memberikan bantuan bahan pokok dan pendirian dapur-dapur umum untuk korban terdampak d…",2021-12-06 02:59:34,retweeted
hipohan,anaswongkamfung,230,RT @hipohan: Konon kabarnya Risma memarahi petugas Pos Pantau Semeru. Bukankah Pos Pantau ada di bawah BMKG - Kementerian Perhubungan ? Kal…,2021-12-06 02:59:33,retweeted
HumasPolresTem1,kelvinadi1998,0,"@HumasPolresTem1 Polri Bagikan Masker Hingga Berikan P ertolongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang",2021-12-06 02:59:33,replied_to
,PolrestabesSby,2,"Polri Terus Evakuasi Masyarakat Terdampak Erupsi Gunung Semeru 

#PolriTanggapKemanusiaan
 Aksi Peduli Lumajang https://t.co/0feumSJGsh",2021-12-06 02:59:31,
KementerianESDM,jokonsembrono,17,"RT @KementerianESDM: PRAY FOR SEMERU

Kami segenap keluarga besar #KESDM turut berbelasungkawa atas terjadi nya musibah yang melanda bumi J…",2021-12-06 02:59:30,retweeted
